t,Lambda1,Lambda2,Lambda3,Lambda4,Kdelta
10.315438479493166,0.042278694013889506,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.31943981327109,0.0422786940139428,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.323441147049017,0.042278694013992535,0.0,0.0,0.0,2.0
10.327442480826942,0.042278694014041385,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.331443814604869,0.04227869401408224,0.0,0.0,0.0,2.0
10.335445148382794,0.042278694014118656,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.33944648216072,0.04227869401415241,0.0,0.0,0.0,2.0
10.343447815938648,0.042278694014178164,8.881784197001252e-16,0.0,0.0,2.0
10.347449149716573,0.042278694014202145,0.0,0.0,0.0,2.0
10.3514504834945,0.042278694014217244,0.0,0.0,0.0,2.0
10.355451817272424,0.0422786940142279,8.881784197001252e-16,0.0,-8.881784197001252e-16,2.0
10.359453151050351,0.04227869401423234,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.363454484828276,0.04227869401423057,0.0,0.0,0.0,2.0
10.367455818606203,0.04227869401422435,0.0,0.0,0.0,2.0
10.371457152384128,0.042278694014211915,0.0,0.0,0.0,2.0
10.375458486162055,0.04227869401419593,0.0,0.0,0.0,2.0
10.37945981993998,0.04227869401417461,0.0,0.0,-8.881784197001252e-16,2.0
10.383461153717906,0.042278694014147966,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.387462487495833,0.04227869401411688,0.0,0.0,0.0,2.0
10.391463821273758,0.04227869401408313,8.881784197001252e-16,0.0,0.0,2.0
10.395465155051685,0.04227869401404316,0.0,0.0,0.0,2.0
10.39946648882961,0.04227869401400319,8.881784197001252e-16,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.403467822607537,0.04227869401395967,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.407469156385462,0.042278694013914375,0.0,0.0,0.0,2.0
10.411470490163389,0.04227869401386908,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.415471823941314,0.04227869401382289,1.7763568394002505e-15,0.0,0.0,2.0
10.41947315771924,0.04227869401377582,0.0,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
10.423474491497167,0.0422786940137323,0.0,0.0,0.0,2.0
10.427475825275092,0.042278694013690554,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.431477159053019,0.04227869401365325,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.435478492830944,0.042278694013617724,0.0,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
10.43947982660887,0.042278694013588414,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.443481160386796,0.042278694013567986,8.881784197001252e-16,0.0,0.0,2.0
10.447482494164722,0.04227869401355289,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.451483827942647,0.04227869401354667,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.455485161720574,0.04227869401355111,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.4594864954985,0.042278694013567986,0.0,0.0,0.0,2.0
10.463487829276426,0.04227869401359641,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.467489163054353,0.04227869401362838,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.471490496832278,0.04227869401366213,0.0,0.0,-8.881784197001252e-16,2.0
10.475491830610205,0.042278694013699436,0.0,0.0,0.0,2.0
10.47949316438813,0.04227869401373674,-8.881784197001252e-16,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.483494498166056,0.042278694013773155,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.487495831943981,0.042278694013812235,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.491497165721908,0.042278694013850426,0.0,0.0,0.0,2.0
10.495498499499833,0.042278694013885953,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.49949983327776,0.04227869401392326,8.881784197001252e-16,0.0,0.0,2.0
10.503501167055687,0.04227869401395523,0.0,0.0,-8.881784197001252e-16,2.0
10.507502500833612,0.042278694013987206,8.881784197001252e-16,0.0,0.0,2.0
10.511503834611538,0.04227869401401829,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.515505168389463,0.042278694014045826,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.51950650216739,0.042278694014069806,0.0,0.0,0.0,2.0
10.523507835945315,0.04227869401409201,0.0,0.0,-8.881784197001252e-16,2.0
10.527509169723242,0.042278694014109774,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.531510503501167,0.04227869401412576,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.535511837279094,0.04227869401413731,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.539513171057019,0.04227869401414619,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.543514504834945,0.04227869401415152,8.881784197001252e-16,0.0,0.0,2.0
10.547515838612872,0.04227869401415418,0.0,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
10.551517172390797,0.04227869401415152,8.881784197001252e-16,0.0,-1.7763568394002505e-15,2.0
10.555518506168724,0.042278694014147966,8.881784197001252e-16,0.0,0.0,2.0
10.559519839946649,0.042278694014138196,0.0,0.0,-8.881784197001252e-16,2.0
10.563521173724576,0.04227869401412754,0.0,0.0,-8.881784197001252e-16,2.0
10.5675225075025,0.04227869401411333,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.571523841280428,0.04227869401409645,-8.881784197001252e-16,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
10.575525175058353,0.04227869401407691,8.881784197001252e-16,0.0,-8.881784197001252e-16,2.0
10.57952650883628,0.04227869401405471,8.881784197001252e-16,0.0,0.0,2.0
10.583527842614206,0.042278694014031615,0.0,0.0,0.0,2.0
10.587529176392131,0.04227869401400586,0.0,0.0,0.0,2.0
10.591530510170058,0.04227869401397921,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.595531843947983,0.04227869401395168,0.0,0.0,0.0,2.0
10.59953317772591,0.042278694013924145,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.603534511503835,0.04227869401389572,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.607535845281761,0.04227869401386819,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.611537179059686,0.042278694013840656,0.0,0.0,0.0,2.0
10.615538512837613,0.042278694013817564,0.0,0.0,-8.881784197001252e-16,2.0
10.619539846615538,0.04227869401379358,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.623541180393465,0.04227869401377493,0.0,0.0,0.0,2.0
10.627542514171392,0.042278694013758056,0.0,0.0,0.0,2.0
10.631543847949317,0.04227869401374651,0.0,0.0,0.0,2.0
10.635545181727244,0.042278694013738516,0.0,0.0,-8.881784197001252e-16,2.0
10.639546515505169,0.04227869401373674,0.0,0.0,0.0,2.0
10.643547849283095,0.04227869401374118,0.0,0.0,0.0,2.0
10.64754918306102,0.0422786940137545,0.0,0.0,0.0,2.0
10.651550516838947,0.04227869401377227,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.655551850616872,0.04227869401379536,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.659553184394799,0.042278694013822005,0.0,0.0,0.0,2.0
10.663554518172726,0.042278694013850426,0.0,0.0,-8.881784197001252e-16,2.0
10.66755585195065,0.042278694013880624,8.881784197001252e-16,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
10.671557185728577,0.0422786940139126,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.675558519506502,0.04227869401394457,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,2.0
10.67955985328443,0.042278694013977436,8.881784197001252e-16,0.0,0.0,2.0
10.683561187062354,0.04227869401400852,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.687562520840281,0.04227869401404227,1.7763568394002505e-15,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.691563854618206,0.04227869401407336,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.695565188396133,0.04227869401410356,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,2.0
10.699566522174058,0.04227869401413198,0.0,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
10.703567855951984,0.042278694014158624,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,2.0
10.707569189729911,0.04227869401418349,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.711570523507836,0.0422786940142057,0.0,0.0,0.0,2.0
10.715571857285763,0.042278694014227014,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.719573191063688,0.042278694014243,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.723574524841615,0.042278694014256324,0.0,0.0,-8.881784197001252e-16,2.0
10.72757585861954,0.04227869401426876,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.731577192397467,0.042278694014275864,-8.881784197001252e-16,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.735578526175392,0.04227869401428119,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.739579859953318,0.04227869401428208,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.743581193731245,0.042278694014280305,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.74758252750917,0.042278694014274976,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.751583861287097,0.04227869401426432,0.0,0.0,0.0,2.0
10.755585195065022,0.04227869401425366,-8.881784197001252e-16,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
10.759586528842949,0.04227869401423856,0.0,0.0,0.0,2.0
10.763587862620874,0.042278694014221685,8.881784197001252e-16,0.0,-8.881784197001252e-16,2.0
10.7675891963988,0.04227869401420037,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.771590530176725,0.04227869401417639,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.775591863954652,0.04227869401414974,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.779593197732577,0.04227869401412132,0.0,0.0,-8.881784197001252e-16,2.0
10.783594531510504,0.04227869401409112,0.0,0.0,0.0,2.0
10.78759586528843,0.04227869401405915,8.881784197001252e-16,0.0,-8.881784197001252e-16,2.0
10.791597199066356,0.0422786940140254,0.0,0.0,0.0,2.0
10.795598532844283,0.04227869401398987,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.799599866622208,0.04227869401395701,8.881784197001252e-16,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
10.803601200400134,0.042278694013919704,0.0,0.0,0.0,2.0
10.80760253417806,0.042278694013885065,0.0,0.0,-8.881784197001252e-16,2.0
10.811603867955986,0.04227869401384954,0.0,0.0,0.0,2.0
10.815605201733911,0.04227869401381579,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.819606535511838,0.04227869401378381,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,2.0
10.823607869289765,0.042278694013753615,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
10.82760920306769,0.04227869401372608,0.0,0.0,0.0,2.0
10.831610536845616,0.0422786940137021,0.0,0.0,0.0,2.0
10.835611870623541,0.04227869401368167,0.0,0.0,0.0,2.0
