k,q,T,lam,D,D_T,D_max,ratio_DT_over_Dmax
4,-2.0,3.0,0.01778279410038923,8.806125027918243,4.9091697934582506,14.945260475676326,0.32847669677273345
4,-2.0,3.0,0.03162277660168379,8.804820732802314,4.911138668493428,14.951390773953722,0.32847370139297977
4,-2.0,3.0,0.05623413251903491,8.8025160630069,4.914626377354606,14.962232113828845,0.3284687966317714
4,-2.0,3.0,0.1,8.798463702709181,4.9207861332609015,14.98132216031387,0.32846140551574704
4,-2.0,3.0,0.1778279410038923,8.791399614444963,4.931607752396962,15.015043025845797,0.3284444635894851
4,-2.0,3.0,0.31622776601683794,8.779269506649024,4.950443686030864,15.07507966204664,0.32838590554809555
4,-2.0,3.0,0.5623413251903491,8.758972137169135,4.982702568016068,15.178289449231533,0.3282782677641148
4,-2.0,3.0,1.0,8.726449164220071,5.036432510246126,15.351837922419515,0.3280670715583195
4,-2.0,3.0,1.7782794100389228,8.677849530476232,5.1218237393237045,15.634308115194374,0.3276015607205543
4,-2.0,3.0,3.1622776601683795,8.61251118555291,5.247505059757093,16.070630682727465,0.3265276368647469
4,-2.0,3.0,5.623413251903491,8.536675531357037,5.411254548944786,16.693992923126753,0.3241438147160343
4,-2.0,3.0,10.0,8.463393459058208,5.587296136205163,17.493130398778117,0.31939944474405974
4,-2.0,3.0,17.78279410038923,8.40548014515782,5.72295144188362,18.40675883780649,0.3109157615586828
4,-2.0,3.0,31.622776601683793,8.367666489924359,5.7597656853977455,19.32464998664873,0.29805278177752914
4,-2.0,3.0,56.23413251903491,8.346470098824799,5.669993379493899,20.142180979133098,0.2814984824815098
4,-2.0,3.0,100.0,8.335714891544836,5.473584710834357,20.790609974140438,0.26327196352788373
4,-2.0,3.0,177.82794100389228,8.330548593760534,5.220034516516916,21.25069050817997,0.24564070115780862
4,-2.0,3.0,316.22776601683796,8.328144113202148,4.958258209542737,21.549275920074994,0.23008931845007818
4,-2.0,3.0,562.341325190349,8.327051639934735,4.719895126828949,21.727859039613616,0.21722780501400393
4,-2.0,3.0,1000.0,8.326565274272044,4.518628441599146,21.832584631855052,0.20696717854496238
4,-2.0,3.0,1778.2794100389228,8.32635193487776,4.356317682717895,21.891907394051298,0.19899214829958764
4,-2.0,3.0,3162.2776601683795,8.32625902016937,4.229034696151815,21.925328676402454,0.19288352565055925
4,-2.0,3.0,5623.413251903491,8.326218460932525,4.1309042609782765,21.944171939336623,0.18824607610612598
4,-2.0,3.0,10000.0,8.326200511553955,4.056028861309713,21.954609916197718,0.18474611376799036
4,-2.0,3.0,17782.794100389227,8.326192341772723,3.9992580685334382,21.96051716454706,0.18211128811619332
4,-2.0,3.0,31622.776601683792,8.326188449306246,3.9563822417107697,21.963949378111,0.18013073029815171
4,-2.0,3.0,56234.13251903491,8.326186471298213,3.9240789823900286,21.965824550696457,0.17864473848151582
4,-2.0,3.0,100000.0,8.326185383798142,3.8997787212066624,21.966932128313402,0.17752951110456602
4,-2.0,3.0,177827.94100389228,8.326184734790978,3.8815175161294495,21.96747749387725,0.17669382008978052
4,-2.0,3.0,316227.7660168379,8.32618431802119,3.8677999496506255,21.967664585178536,0.1760678716963026
4,-2.0,3.0,562341.3251903491,8.326184034790431,3.8575007250674687,21.967897276617876,0.1755971760289185
4,-2.0,3.0,1000000.0,8.326183832610308,3.8495553479042712,21.968080138933715,0.17523403609047106
4,-1.0,0.1,0.0,80.68142015871446,1074.7799254711188,1271.6267563593988,0.8452007793137019
4,-1.0,0.1,0.0001,80.68141647347683,1074.779736140097,1271.6265755884178,0.845200750576297
4,-1.0,0.1,0.00017782794100389227,80.68141360533552,1074.7795887879427,1271.6264348981729,0.8452007282107241
4,-1.0,0.1,0.00031622776601683794,80.68140850498405,1074.7793267548918,1271.626184711836,0.8452006884385196
4,-1.0,0.1,0.0005623413251903491,80.68139943514753,1074.7788607875887,1271.6257398112116,0.8452006177125297
4,-1.0,0.1,0.001,80.68138330648627,1074.7780321696764,1271.624948655408,0.8452004919423186
4,-1.0,0.1,0.0017782794100389228,80.6813546253553,1074.7765586624703,1271.6235417650405,0.845200268289039
4,-1.0,0.1,0.0031622776601683794,80.68130362271904,1074.7739383766911,1271.6210399387971,0.8451998705749787
