eps,L_exact,L_H,half_L_H,ratio_2L_over_LH
0.5738441648302393,0.008188762302898667,0.01624414210080935,0.008122071050404675,1.008211114145655
0.6010276782070382,0.00888159435614444,0.01760635328112166,0.00880317664056083,1.0089078884572529
0.6294988990221888,0.009628817202285589,0.019073390757630346,0.009536695378815173,1.0096597217181809
0.6593188271333549,0.010434185325584266,0.020652132992384928,0.010326066496192464,1.0104704758033147
0.6905513520162331,0.011301652551846786,0.0223497642825333,0.01117488214126665,1.011344227972839
0.7232633896483533,0.012235375986991315,0.024173770508023412,0.012086885254011706,1.0122852769641644
0.7575250258771913,0.01323971926381251,0.026131932208954267,0.013065966104477134,1.0132981486363906
0.7934096665797492,0.014319255006684628,0.028232314731065373,0.014116157365532686,1.014387601093754
0.8309941949353395,0.015478766422616808,0.030483255180552435,0.015241627590276217,1.0155586292169925
0.8703591361485166,0.016723247926734963,0.032893345936707015,0.016446672968353507,1.016816468529145
0.9115888299750827,0.018057904711120898,0.03547141448339427,0.017735707241697134,1.0181665983224095
0.9547716114208056,0.01948815116811531,0.038226499338646025,0.019113249669323013,1.0196147439749095
1.0,0.021019608082724517,0.04116782188615832,0.02058391094307916,1.0211668783862402
